experiment,dataset,seq_length,model,test_auc,test_logloss,best_valid_auc,train_time_sec,qps,num_params,status,HR@5,Recall@5,NDCG@5,MRR@5,Precision@5,HR@10,Recall@10,NDCG@10,MRR@10,Precision@10,HR@20,Recall@20,NDCG@20,MRR@20,Precision@20
exp1_seq_model,ml-100k,20,DIN,0.9282585499872047,0.4120779862958451,0.9338346691791504,150.04296922683716,6078.083744786981,233463,success,0.47368421052631576,0.47368421052631576,0.29254794866923806,0.23421052631578942,0.09473684210526315,0.6736842105263158,0.6736842105263158,0.3571332598011683,0.2607936507936508,0.06736842105263158,0.8210526315789474,0.8210526315789474,0.3939344526644382,0.27064450490758135,0.04105263157894737
exp1_seq_model,ml-100k,20,GRU4Rec,0.9121763954932125,0.48627737008405614,0.9267975253571115,308.1396999359131,9945.190242764795,239857,success,0.4421052631578947,0.4421052631578947,0.29218690504690464,0.24315789473684207,0.08842105263157894,0.6105263157894737,0.6105263157894737,0.34794677051591416,0.2669047619047619,0.06105263157894737,0.8315789473684211,0.8315789473684211,0.403733664816925,0.2821313606188138,0.041578947368421056
exp1_seq_model,ml-100k,20,SASRec,0.9231200849629779,0.37740793627077013,0.9275649753149844,599.2298529148102,2771.5121718641944,316337,success,0.5473684210526316,0.5473684210526316,0.38474028581706543,0.33157894736842103,0.10947368421052632,0.6947368421052632,0.6947368421052632,0.43391147385087103,0.35275689223057644,0.06947368421052633,0.8631578947368421,0.8631578947368421,0.4767610977712813,0.36467228460710627,0.0431578947368421
exp1_seq_model,ml-100k,20,NARM,0.9137070455081501,0.46292922161479866,0.9275403214541644,389.99608278274536,5161.910956568794,256369,success,0.5473684210526316,0.5473684210526316,0.366493233007933,0.3075438596491228,0.10947368421052632,0.7473684210526316,0.7473684210526316,0.4306746997207691,0.3337468671679198,0.07473684210526316,0.8842105263157894,0.8842105263157894,0.46542993044667863,0.3433813939215602,0.04421052631578947
exp1_seq_model,ml-100k,20,AvgPool,0.9167276232952803,0.3924958049053323,0.9206767211583224,897.0799453258514,5267.458743734736,214897,success,0.47368421052631576,0.47368421052631576,0.3218073459648901,0.27157894736842103,0.09473684210526315,0.6210526315789474,0.6210526315789474,0.3672566365197664,0.28906015037593985,0.06210526315789474,0.7789473684210526,0.7789473684210526,0.406463764837492,0.2994387223860093,0.03894736842105263
exp1_seq_model,ml-100k,50,DIN,0.918332288418784,0.4396831869286583,0.9257103905246067,490.8811745643616,4265.59191194822,233463,success,0.47368421052631576,0.47368421052631576,0.3074452431181634,0.25280701754385965,0.09473684210526315,0.6631578947368421,0.6631578947368421,0.36842154963435375,0.27783208020050126,0.0663157894736842,0.8,0.8,0.4035986473377714,0.2877932344573212,0.04
exp1_seq_model,ml-100k,50,GRU4Rec,0.8923527633281724,0.5078326867161086,0.9118299753129866,413.2297008037567,3392.0211152464162,239857,success,0.4421052631578947,0.4421052631578947,0.2762594094172573,0.22228070175438597,0.08842105263157894,0.6210526315789474,0.6210526315789474,0.3334500236962489,0.2455096073517126,0.06210526315789474,0.8105263157894737,0.8105263157894737,0.3806489186674557,0.2580990229874049,0.04052631578947368
exp1_seq_model,ml-100k,50,SASRec,0.917116822517173,0.3909184949396846,0.9250891467084953,558.98250722885,11461.796469102623,318257,success,0.5157894736842106,0.5157894736842106,0.36774077009008804,0.3191228070175438,0.10315789473684212,0.6631578947368421,0.6631578947368421,0.41687581522467415,0.3402589807852966,0.0663157894736842,0.7894736842105263,0.7894736842105263,0.44890773277100837,0.3490665766981556,0.039473684210526314
exp1_seq_model,ml-100k,50,NARM,0.896730583899623,0.5288593062111657,0.9137881646328023,414.3390016555786,8964.080352114059,256369,success,0.3473684210526316,0.3473684210526316,0.2343356382277724,0.19666666666666666,0.06947368421052633,0.5368421052631579,0.5368421052631579,0.2949445237250516,0.22131996658312447,0.05368421052631579,0.7157894736842105,0.7157894736842105,0.33963430190736643,0.2333264819206648,0.035789473684210524
exp1_seq_model,ml-100k,50,AvgPool,0.9148209277868247,0.3887357644302195,0.9177661293294886,881.1621999740601,5525.813082641425,214897,success,0.4421052631578947,0.4421052631578947,0.2845908710005533,0.23228070175438595,0.08842105263157894,0.6210526315789474,0.6210526315789474,0.34234672728912496,0.25604427736006685,0.06210526315789474,0.7789473684210526,0.7789473684210526,0.3830699394045127,0.26764239544425306,0.03894736842105263
exp1_seq_model,ml-100k,100,DIN,0.914391450290039,0.4420782129455362,0.9241429913560626,380.305926322937,5694.678189249583,233463,success,0.42105263157894735,0.42105263157894735,0.2710019515114163,0.22210526315789472,0.08421052631578947,0.5578947368421052,0.5578947368421052,0.31543893324663247,0.2405639097744361,0.05578947368421052,0.7263157894736842,0.7263157894736842,0.35901274104512093,0.2530593269276665,0.03631578947368421
exp1_seq_model,ml-100k,100,GRU4Rec,0.8700382542537953,0.5263975418398821,0.8978361339834854,345.0193774700165,4134.322569884515,239857,success,0.29473684210526313,0.29473684210526313,0.20400992082368608,0.17456140350877192,0.05894736842105262,0.45263157894736844,0.45263157894736844,0.2537375793259388,0.19432330827067665,0.045263157894736845,0.631578947368421,0.631578947368421,0.29857804084395495,0.20639992876060986,0.031578947368421054
exp1_seq_model,ml-100k,100,SASRec,0.902651258878873,0.43838898690678324,0.91955972200164,736.09750843048,8900.905319584483,321457,success,0.4631578947368421,0.4631578947368421,0.32537471522121936,0.27947368421052626,0.09263157894736843,0.6421052631578947,0.6421052631578947,0.38514992944171383,0.30528404344193816,0.06421052631578947,0.7789473684210526,0.7789473684210526,0.42037170927134815,0.31526625312840073,0.03894736842105263
exp1_seq_model,ml-100k,100,NARM,0.8710881484850668,0.5809735551785193,0.8967058143987164,356.1497838497162,8119.426405881633,256369,success,0.3473684210526316,0.3473684210526316,0.2301007554127035,0.1924561403508772,0.06947368421052633,0.4842105263157895,0.4842105263157895,0.27480451152213375,0.21119465329991646,0.04842105263157895,0.6526315789473685,0.6526315789473685,0.31693360171957163,0.2225356158063507,0.03263157894736842
exp1_seq_model,ml-100k,100,AvgPool,0.909062140489357,0.4046779258244072,0.9151390353023092,853.6055591106415,6882.594729906617,214897,success,0.3684210526315789,0.3684210526315789,0.24832906425549983,0.20912280701754388,0.07368421052631578,0.5789473684210527,0.5789473684210527,0.3179886168193811,0.2387593984962406,0.05789473684210526,0.7263157894736842,0.7263157894736842,0.35544649055460104,0.24914452936124767,0.03631578947368421
exp1_seq_model,ml-100k,150,DIN,0.9126945059762371,0.43020754258246524,0.9240201648063621,396.3564736843109,4766.658070336692,233463,success,0.42105263157894735,0.42105263157894735,0.281766266162997,0.23631578947368417,0.08421052631578947,0.5157894736842106,0.5157894736842106,0.3123045357640498,0.24885547201336672,0.05157894736842106,0.7473684210526316,0.7473684210526316,0.373046373992099,0.2666993283634151,0.03736842105263158
exp1_seq_model,ml-100k,150,GRU4Rec,0.8456481435186725,0.611551234770556,0.8869103106689913,436.98839712142944,4752.224065669925,239857,success,0.18947368421052632,0.18947368421052632,0.14615865400455386,0.13157894736842105,0.037894736842105266,0.3368421052631579,0.3368421052631579,0.19269185924524748,0.15010860484544697,0.03368421052631579,0.6,0.6,0.25778230739774066,0.16720948917828501,0.03
exp1_seq_model,ml-100k,150,SASRec,,,,,,,"error: Caught OutOfMemoryError in replica 0 on device 0.
Original Traceback (most recent call last):
  File",,,,,,,,,,,,,,,
exp1_seq_model,ml-100k,150,NARM,0.8525744718050705,0.5959338256488981,0.8871526809065048,474.7757387161255,3630.1837174268603,256369,success,0.29473684210526313,0.29473684210526313,0.18291951921066138,0.14719298245614035,0.05894736842105262,0.4105263157894737,0.4105263157894737,0.2203770499068647,0.16262740183792815,0.04105263157894737,0.5263157894736842,0.5263157894736842,0.24885901860216622,0.17002395048508784,0.02631578947368421
exp1_seq_model,ml-100k,150,AvgPool,0.9116699793123262,0.39701955629675545,0.915504718039474,969.2463669776917,4251.533801881681,214897,success,0.3157894736842105,0.3157894736842105,0.22909692428826742,0.20035087719298245,0.06315789473684211,0.5473684210526316,0.5473684210526316,0.30369599759195526,0.23097326649958227,0.05473684210526316,0.7368421052631579,0.7368421052631579,0.35066780442526807,0.2433819970336184,0.03684210526315789
